ID,Name,Email,Origin Country,Amount,Payout Channel,Purpose,Recipient Wallet,Claim PIN,Tx Hash,Stellar Expert URL,Rating,Feedback,Timestamp
"11","Teresa Dizon","teresa.dizon.86@gmail.com","Milan, Italy","110.00 XLM","BPI Bank","Family Allowance","GDG24NWJL2S6LUVE2GTZRWERE4YYSSPLZJ3TKXJVUGUO3X774ISDVO2R","330247","09c7fff83de60058bd6dc7bea47ed575947cf3da1940e75075c82c71b9b69ab4","https://stellar.expert/explorer/testnet/tx/09c7fff83de60058bd6dc7bea47ed575947cf3da1940e75075c82c71b9b69ab4","4.9","Instant receipt, saved me over ₱400 compared to remit centers!","2026-08-31T19:13:59.747Z"
"12","Michael Ocampo","michael.ocampo.95@gmail.com","Kuwait City, Kuwait","117.00 XLM","UnionBank","Tuition Fee & Books","GDVNMPPRJBSOS7YRB7X3TRND7UOJYD5CQ3FEEUVASN7RTF7CDK5F3FYL","111549","70cbfecc4b08d4e506df7c0b03a6b66bed6a66a90e3dadd26d96a150c9d300b6","https://stellar.expert/explorer/testnet/tx/70cbfecc4b08d4e506df7c0b03a6b66bed6a66a90e3dadd26d96a150c9d300b6","4.8","The secret PIN voucher worked like a charm for my mother.","2026-08-31T19:14:04.033Z"
"13","Catherine Villanueva","catherine.villanueva.95@gmail.com","Abu Dhabi, UAE","124.00 XLM","Cebuana Lhuillier","Emergency Hospital Fund","GDOWEACZQSUZNDZIWP2IKVNBJCYIAGUGSUAHJ66T77PPORBQBZK2NSUI","923224","5928e96575aad558e3da033ddc466dd6da4a76bfde8e4cdb1c9e70bb1f3ac3eb","https://stellar.expert/explorer/testnet/tx/5928e96575aad558e3da033ddc466dd6da4a76bfde8e4cdb1c9e70bb1f3ac3eb","4.7","Zero gas friction and lightning fast confirmation.","2026-08-31T19:14:09.034Z"
"14","Ramon Navarro","ramon.navarro.68@gmail.com","Taipei, Taiwan","131.00 XLM","Palawan Express","Monthly Grocery Support","GDJNX5CBM6JGN7LPFDVMNJPKMONRLGPH4I7POFUN2SEN7XP5XNUVIHXZ","249676","498fe4ca322391cb13aaa8dacfa36cb714713d7058ba8b0a6293fd0045ee77fc","https://stellar.expert/explorer/testnet/tx/498fe4ca322391cb13aaa8dacfa36cb714713d7058ba8b0a6293fd0045ee77fc","5.0","Extremely clean mobile UI. Easy to share over WhatsApp.","2026-08-31T19:14:14.091Z"
"15","Kristine Torres","kristine.torres.31@gmail.com","Seoul, South Korea","138.00 XLM","GCash","House Loan Amortization","GBJOSO2A7KU5PPTZJ5CXVCXOII6C34L7LBLVCXF3T2MEH5KWTJNQCAFC","445007","20693655559d3ef41e3123f8bd3fdb13fa2da930f9777c4c680d9de52587ae32","https://stellar.expert/explorer/testnet/tx/20693655559d3ef41e3123f8bd3fdb13fa2da930f9777c4c680d9de52587ae32","4.9","Soroban smart contract escrow gives 100% confidence.","2026-08-31T19:14:19.784Z"
"16","Eduardo Pascual","eduardo.pascual.53@gmail.com","Rome, Italy","145.00 XLM","Maya","Electricity & Utility Bills","GD6EMCRTG7ZJUESUL7UBT2XX7MGVBJENHQAQZ7AKCRF7ZY3RKGQJJ7VT","211328","6111f7ad3e37b2e036e834275d77dfe3985cdce8ce8609e12467d96a5be3fd72","https://stellar.expert/explorer/testnet/tx/6111f7ad3e37b2e036e834275d77dfe3985cdce8ce8609e12467d96a5be3fd72","4.8","Much better exchange rates than traditional bank wires.","2026-08-31T19:14:24.746Z"
"17","Rowena Manalo","rowena.manalo.14@gmail.com","Auckland, New Zealand","152.00 XLM","BDO Unibank","Farm Support & Seeds","GDO7X7JYS6HTJK6MI2LCYZST7IPJZOCK6BPIJNF6T2BC7GJDBMJYSMOF","111576","2f0cfe5b5839b6f59651ecd025b42d269e4ea10904a015fcc5aef9ac8e1c2186","https://stellar.expert/explorer/testnet/tx/2f0cfe5b5839b6f59651ecd025b42d269e4ea10904a015fcc5aef9ac8e1c2186","4.7","Viber sharing made sending claim details super seamless.","2026-08-31T19:14:29.035Z"
"18","Danilo Rivera","danilo.rivera.51@gmail.com","Manama, Bahrain","159.00 XLM","BPI Bank","Small Business Capital","GAMXN46B43RHU2CG6HH2NYUUI46IYX6OJACNPIW4YLAQMHBRPQYW3A7B","849186","014bd40bba02f274f7818ce591365d9df575e10d8c74f0a1adf038d4915c9cd8","https://stellar.expert/explorer/testnet/tx/014bd40bba02f274f7818ce591365d9df575e10d8c74f0a1adf038d4915c9cd8","5.0","Immediate settlement on GCash within seconds.","2026-08-31T19:14:34.034Z"
"19","Lourdes Mercado","lourdes.mercado.84@gmail.com","Muscat, Oman","166.00 XLM","UnionBank","Savings & Investments","GBZTDB6JJU4TP4HCCZCFBJITNLYGWBTRWZHEQXKSYX7Z4RFDRQ4YYMEQ","520240","e81845ed000b0dfc3c4f29b128abaa2a8a467fb372f7bbe3b7015e56a5fe63dc","https://stellar.expert/explorer/testnet/tx/e81845ed000b0dfc3c4f29b128abaa2a8a467fb372f7bbe3b7015e56a5fe63dc","4.9","Autonomous refund safety feature provides absolute peace of mind.","2026-08-31T19:14:39.749Z"
"20","Antonio Valdez","antonio.valdez.45@gmail.com","Frankfurt, Germany","173.00 XLM","Cebuana Lhuillier","Medical Maintenance & Prescriptions","GBZCKNZ7ZMKI26FEC4TXFMXQMXJDOLDOMIJYBGUKCH2ZRD55GI6TD4AR","437911","cdd7c586ea006e6e886ad1d5665f9e403dcc8c34eeef064cf9d6545a54c879b6","https://stellar.expert/explorer/testnet/tx/cdd7c586ea006e6e886ad1d5665f9e403dcc8c34eeef064cf9d6545a54c879b6","4.8","Finally a crypto remittance app built specifically for OFWs.","2026-08-31T19:14:44.034Z"
"21","Maricel Cortez","maricel.cortez.64@gmail.com","Madrid, Spain","180.00 XLM","Palawan Express","Family Allowance","GAECGJ2FTE26KDFH6IWGBGY7HW3O4OKOOXO2RSJUMX7OOJEUY25FFMUO","450451","a6674e73ea31d02c3a91a25a6411216104c831edc639573f8066c482dca695f5","https://stellar.expert/explorer/testnet/tx/a6674e73ea31d02c3a91a25a6411216104c831edc639573f8066c482dca695f5","4.7","Instant receipt, saved me over ₱400 compared to remit centers!","2026-08-31T19:14:49.154Z"
"22","Arnel Salazar","arnel.salazar.49@gmail.com","Vancouver, Canada","187.00 XLM","GCash","Tuition Fee & Books","GCO3QFF525MEN5BHPDMWFBJZF22IMHP6XV2M4I5CPH7IMZVZPIXOKPCN","395709","44e344026fc7ac4fb58dd52f2c8addc1d38688f34467c2c983a1c6b3593a96ac","https://stellar.expert/explorer/testnet/tx/44e344026fc7ac4fb58dd52f2c8addc1d38688f34467c2c983a1c6b3593a96ac","5.0","The secret PIN voucher worked like a charm for my mother.","2026-08-31T19:14:54.074Z"
"23","Leah Tolentino","leah.tolentino.46@gmail.com","Chicago, USA","194.00 XLM","Maya","Emergency Hospital Fund","GBZGRHSYNTZQZP3XKMDQGMHXURYHODLBQXLUMYPZJ3VPKID7YUHXS4YM","693750","8f5662ce5555ab532d23175fec8347b5c393542452250ead4dc2b732126992af","https://stellar.expert/explorer/testnet/tx/8f5662ce5555ab532d23175fec8347b5c393542452250ead4dc2b732126992af","4.9","Zero gas friction and lightning fast confirmation.","2026-08-31T19:14:59.040Z"
"24","Ferdinand Corpuz","ferdinand.corpuz.15@gmail.com","Melbourne, Australia","41.00 XLM","BDO Unibank","Monthly Grocery Support","GA2AZA5MFGKVFIEAS3IM2QDSW4CXYSEK357DMI2MRAB7XZBECJQIQ5VL","979990","1f7056e075ab2daa564038af5b722753f36d596ae0fac09089c177c05ea999c5","https://stellar.expert/explorer/testnet/tx/1f7056e075ab2daa564038af5b722753f36d596ae0fac09089c177c05ea999c5","4.8","Extremely clean mobile UI. Easy to share over WhatsApp.","2026-08-31T19:15:04.040Z"
"25","Rosario Espiritu","rosario.espiritu.91@gmail.com","Jeddah, Saudi Arabia","48.00 XLM","BPI Bank","House Loan Amortization","GA35VYK7SMQTJILT32ZNARUGTVYCBUPD6CKCEPF7RVIVXO6LW344557H","130749","770ee2cac868d0bafc27c785a2a95028d6c4b826e25012a0fd79e655883d36bc","https://stellar.expert/explorer/testnet/tx/770ee2cac868d0bafc27c785a2a95028d6c4b826e25012a0fd79e655883d36bc","4.7","Soroban smart contract escrow gives 100% confidence.","2026-08-31T19:15:09.763Z"
"26","Joel Pangilinan","joel.pangilinan.43@gmail.com","Dubai, UAE","55.00 XLM","UnionBank","Electricity & Utility Bills","GAUZJE3RTNB3XHJGIYJ334HRTCG5W4JSNYJEWHGSIKZK4BVXNE5EOGNV","869410","2a9d94f9ed371a94b29671948a27ae21f1df86185089dd352b6a40883847dfe0","https://stellar.expert/explorer/testnet/tx/2a9d94f9ed371a94b29671948a27ae21f1df86185089dd352b6a40883847dfe0","5.0","Much better exchange rates than traditional bank wires.","2026-08-31T19:15:14.743Z"
"27","Corazon Domingo","corazon.domingo.51@gmail.com","Riyadh, Saudi Arabia","62.00 XLM","Cebuana Lhuillier","Farm Support & Seeds","GCWM2P2HZEH2EUQPI2QYSKLQ64FQ5KXOIB3PBLUETSLS22WKVNSXDPFZ","109210","064600f704cd4dd9ac8180643729cc0897ff0c8966040bdc5a7e61634be6623c","https://stellar.expert/explorer/testnet/tx/064600f704cd4dd9ac8180643729cc0897ff0c8966040bdc5a7e61634be6623c","4.9","Viber sharing made sending claim details super seamless.","2026-08-31T19:15:19.035Z"
"28","Renato Soriano","renato.soriano.55@gmail.com","Singapore","69.00 XLM","Palawan Express","Small Business Capital","GCZN7EUOPQCHUWR4HUTPO63BXYZ6XS7ARUJUO4AJUZ3ZHCHOQ7PQZF23","349979","7a1429acca44e13b79aff970e563fc8452a12b1542ad9c2c96bb04ee611743b8","https://stellar.expert/explorer/testnet/tx/7a1429acca44e13b79aff970e563fc8452a12b1542ad9c2c96bb04ee611743b8","4.8","Immediate settlement on GCash within seconds.","2026-08-31T19:15:24.036Z"
"29","Jocelyn Guinto","jocelyn.guinto.80@gmail.com","Hong Kong","76.00 XLM","GCash","Savings & Investments","GBEG26SXIDATL4MHIVSTSM52SIR7TZEATUER3XNMTUEPTMRPR6YD3WMD","971485","8f28049edce683599e5ae814b7a14a6d2f30cf1e9e4a28acd682cce66c81068b","https://stellar.expert/explorer/testnet/tx/8f28049edce683599e5ae814b7a14a6d2f30cf1e9e4a28acd682cce66c81068b","4.7","Autonomous refund safety feature provides absolute peace of mind.","2026-08-31T19:15:29.742Z"
"30","Edgardo Bernardo","edgardo.bernardo.68@gmail.com","Tokyo, Japan","83.00 XLM","Maya","Medical Maintenance & Prescriptions","GCRTHQ7GKP6OVH44ZIR2F6QAXQXQPAG2EM4GAIYCE5ZMLUQDLJGNIB4U","449072","788ee71d345aaa13be63f7c69476e2dc6439dc653206c75179a12efa6140bf5c","https://stellar.expert/explorer/testnet/tx/788ee71d345aaa13be63f7c69476e2dc6439dc653206c75179a12efa6140bf5c","5.0","Finally a crypto remittance app built specifically for OFWs.","2026-08-31T19:15:34.743Z"
"31","Patricia Alvarez","patricia.alvarez.88@gmail.com","Doha, Qatar","90.00 XLM","BDO Unibank","Family Allowance","GBRAOG36XT3PVYTYSNSOXYZQ3DFMJFVPUC2LN4NKBUG7QU37SCB6FDNC","121982","bdd197bfd28d9fee013f11c1f90804d3794042ec5e1cbd001a37516f633e5417","https://stellar.expert/explorer/testnet/tx/bdd197bfd28d9fee013f11c1f90804d3794042ec5e1cbd001a37516f633e5417","4.9","Instant receipt, saved me over ₱400 compared to remit centers!","2026-08-31T19:15:39.779Z"
"32","Rogelio Padilla","rogelio.padilla.34@gmail.com","London, UK","97.00 XLM","BPI Bank","Tuition Fee & Books","GCINC4RXYOY7H3OQF6P6NF33ZQQUYAFTS4IJNV5RRAXK7JYWGMS56ZGY","271602","972c14e2f3c53e88b653dc54be22b55edd79bafa00c899577b648fc280d4d90e","https://stellar.expert/explorer/testnet/tx/972c14e2f3c53e88b653dc54be22b55edd79bafa00c899577b648fc280d4d90e","4.8","The secret PIN voucher worked like a charm for my mother.","2026-08-31T19:15:44.743Z"
"33","Glenda Ferrer","glenda.ferrer.11@gmail.com","Toronto, Canada","104.00 XLM","UnionBank","Emergency Hospital Fund","GBRMDZDIG4IYNU2TXJUW675TLAKAHDR5F7L7EHYK3UIAUQC3RKND3ZK2","426858","78c7c847a4072dae6201428a3309c99a586188361d5da38ab856389a40c31574","https://stellar.expert/explorer/testnet/tx/78c7c847a4072dae6201428a3309c99a586188361d5da38ab856389a40c31574","4.7","Zero gas friction and lightning fast confirmation.","2026-08-31T19:15:49.034Z"
"34","Noel Ignacio","noel.ignacio.48@gmail.com","Los Angeles, USA","111.00 XLM","Cebuana Lhuillier","Monthly Grocery Support","GCSTEXQTQXLXY2QRLL4AY4AMMPBDZMCAD7BXRLQZSZLZ5VXCPZPAN635","987597","0049f8431035d77d30aff59fb2fa6fae528adee6be870fc3bb0ae00e208e4a1e","https://stellar.expert/explorer/testnet/tx/0049f8431035d77d30aff59fb2fa6fae528adee6be870fc3bb0ae00e208e4a1e","5.0","Extremely clean mobile UI. Easy to share over WhatsApp.","2026-08-31T19:15:54.747Z"
"35","Aileen Legaspi","aileen.legaspi.40@gmail.com","Sydney, Australia","118.00 XLM","Palawan Express","House Loan Amortization","GDKIPJOTRNODJYOCHZ5CRU2FZFDUHJUATVBY5VOOQTFNGJSVFUDFC5U5","636206","dcdf36473d3c4a5d5701600fbca49cde9ca186044af0941a86ebb055016db76e","https://stellar.expert/explorer/testnet/tx/dcdf36473d3c4a5d5701600fbca49cde9ca186044af0941a86ebb055016db76e","4.9","Soroban smart contract escrow gives 100% confidence.","2026-08-31T19:15:59.034Z"
"36","Dennis Morales","dennis.morales.29@gmail.com","Milan, Italy","125.00 XLM","GCash","Electricity & Utility Bills","GDSZWGRNHCLDTTHBHRCGSX7ZWRY5FH2WPELDWMG5L6TTIO45D5NT36LD","921963","ba1142482b216d9c72f501e0e0c7935978cd1e1fca27ab7518e4359075b26def","https://stellar.expert/explorer/testnet/tx/ba1142482b216d9c72f501e0e0c7935978cd1e1fca27ab7518e4359075b26def","4.8","Much better exchange rates than traditional bank wires.","2026-08-31T19:16:04.117Z"
"37","Cheryl Rosario","cheryl.rosario.71@gmail.com","Kuwait City, Kuwait","132.00 XLM","Maya","Farm Support & Seeds","GBTMPNOWM5PWWIJNOCXITDZDUVT6BLNXNXR3V5C6S6C44ATRL66GIDY5","370548","292e7d346efb8c1bbae3d1474b29b2a4a09881a77206dc083872b9b7aa0f8143","https://stellar.expert/explorer/testnet/tx/292e7d346efb8c1bbae3d1474b29b2a4a09881a77206dc083872b9b7aa0f8143","4.7","Viber sharing made sending claim details super seamless.","2026-08-31T19:16:09.036Z"
"38","Rolando San Jose","rolando.san.jose.67@gmail.com","Abu Dhabi, UAE","139.00 XLM","BDO Unibank","Small Business Capital","GDLDAVGCJHKBPNFBCUPMTKRL2KRJO2GZIPQPY4UHOTC5QASJDERHAPKD","895313","c87b384ba0c25c183086650eb36b8d6001f0c62ac7989c1011c7d571205b58a4","https://stellar.expert/explorer/testnet/tx/c87b384ba0c25c183086650eb36b8d6001f0c62ac7989c1011c7d571205b58a4","5.0","Immediate settlement on GCash within seconds.","2026-08-31T19:16:14.046Z"
"39","Divina Santiago","divina.santiago.92@gmail.com","Taipei, Taiwan","146.00 XLM","BPI Bank","Savings & Investments","GBU453UR2ZE4INXTK6MGYFHUCP4MDKFBLXFNRWCOQN7HFMDEYVKBMAAQ","298026","1e85c16bb40ad9fde972f6ecf9105b7c996aa86880afdd54b43de17fb0994403","https://stellar.expert/explorer/testnet/tx/1e85c16bb40ad9fde972f6ecf9105b7c996aa86880afdd54b43de17fb0994403","4.9","Autonomous refund safety feature provides absolute peace of mind.","2026-08-31T19:16:19.742Z"
"40","Nestor Zapata","nestor.zapata.80@gmail.com","Seoul, South Korea","153.00 XLM","UnionBank","Medical Maintenance & Prescriptions","GCICYH7IG6I2OK55HOEDG4A2IOKO3PRMWSMM7AEVLFIG3SES5LWRN52S","902225","49d3598fa3cb91c7617a1f3326f3f9eafddf01253d44245303c5f3ab27560c9b","https://stellar.expert/explorer/testnet/tx/49d3598fa3cb91c7617a1f3326f3f9eafddf01253d44245303c5f3ab27560c9b","4.8","Finally a crypto remittance app built specifically for OFWs.","2026-08-31T19:16:24.034Z"
"41","Lorna Aguilar","lorna.aguilar.97@gmail.com","Rome, Italy","160.00 XLM","Cebuana Lhuillier","Family Allowance","GDQUKUCZJI4LTNSJ5KHTERZU7DMMWSHB3U3VF56FNDK2KUX6E7DIOBRF","358550","1ebfc44642b78a146ddaca53acec5b970d74617124d5df0a04bac19cf3d9a758","https://stellar.expert/explorer/testnet/tx/1ebfc44642b78a146ddaca53acec5b970d74617124d5df0a04bac19cf3d9a758","4.7","Instant receipt, saved me over ₱400 compared to remit centers!","2026-08-31T19:16:29.741Z"
"42","Vicente Castillo","vicente.castillo.48@gmail.com","Auckland, New Zealand","167.00 XLM","Palawan Express","Tuition Fee & Books","GA6EFFTGOG7DMAVRBWZGKDK3WOQE5EMUHJ32LQHAXQYPYYUNGVQDDZLG","886309","5ea6760b6db3b5630468b506eb624c5f2a0f6270ca3b92bee4242bb280fab9d2","https://stellar.expert/explorer/testnet/tx/5ea6760b6db3b5630468b506eb624c5f2a0f6270ca3b92bee4242bb280fab9d2","5.0","The secret PIN voucher worked like a charm for my mother.","2026-08-31T19:16:34.742Z"
"43","Marilyn Enriquez","marilyn.enriquez.46@gmail.com","Manama, Bahrain","174.00 XLM","GCash","Emergency Hospital Fund","GBNSZH5KFZCOA5EJMH2EDLQFKTVDK5QE4CBLK6ZUNT5246YF35I4TYIP","183075","e28762ed75966354b30b374e2617851e7da6e4a8e09e899bd3d69339258c648e","https://stellar.expert/explorer/testnet/tx/e28762ed75966354b30b374e2617851e7da6e4a8e09e899bd3d69339258c648e","4.9","Zero gas friction and lightning fast confirmation.","2026-08-31T19:16:39.033Z"
"44","Arman Flores","arman.flores.78@gmail.com","Muscat, Oman","181.00 XLM","Maya","Monthly Grocery Support","GB6C2DVBQT7IMOBADQY5EXYRWEXTXEFWTJ2Q3LGIWC65O55J5ZJB2ZUD","261163","709255e9e0874aaa3ecff2664ee0ab977d4243a882408bf875d3f84b3cc549d9","https://stellar.expert/explorer/testnet/tx/709255e9e0874aaa3ecff2664ee0ab977d4243a882408bf875d3f84b3cc549d9","4.8","Extremely clean mobile UI. Easy to share over WhatsApp.","2026-08-31T19:16:44.748Z"
"45","Bernadette Gonzales","bernadette.gonzales.58@gmail.com","Frankfurt, Germany","188.00 XLM","BDO Unibank","House Loan Amortization","GDFFHGHKNOT6Q25W7H345QSA5E3UODSIKK4RBRFJQ7QYRQPEEDIBE3JU","772035","073becc0a34e51bbc140f57e17850473fe15639f63dc504f58ff162855668cf5","https://stellar.expert/explorer/testnet/tx/073becc0a34e51bbc140f57e17850473fe15639f63dc504f58ff162855668cf5","4.7","Soroban smart contract escrow gives 100% confidence.","2026-08-31T19:16:49.742Z"
"46","Reynaldo Gutierrez","reynaldo.gutierrez.68@gmail.com","Madrid, Spain","195.00 XLM","BPI Bank","Electricity & Utility Bills","GACOZTHDTT5KXWFIZILAWOOG2VG3J2MXTSBEFWRF7WT6ZMAMEKX6LNDW","190902","6023d25387d93b861ca372e5c34bd37a6c8877befde943682aaa937457e97c6b","https://stellar.expert/explorer/testnet/tx/6023d25387d93b861ca372e5c34bd37a6c8877befde943682aaa937457e97c6b","5.0","Much better exchange rates than traditional bank wires.","2026-08-31T19:16:54.033Z"
"47","Alma Hernandez","alma.hernandez.13@gmail.com","Vancouver, Canada","42.00 XLM","UnionBank","Farm Support & Seeds","GBUHDATZCJHDYYJI4LO5YIQ5GJ3RBH57QXVDQL7TVAFPEV2URV6YG2RW","966986","6513ad4a1fdafbf2fa60cb9a4a36117fc0b79b7c0ffcb58bc36c58b9f86688f7","https://stellar.expert/explorer/testnet/tx/6513ad4a1fdafbf2fa60cb9a4a36117fc0b79b7c0ffcb58bc36c58b9f86688f7","4.9","Viber sharing made sending claim details super seamless.","2026-08-31T19:16:59.741Z"
"48","Gilbert Laurel","gilbert.laurel.47@gmail.com","Chicago, USA","49.00 XLM","Cebuana Lhuillier","Small Business Capital","GATEPUVL7LY2U3WXGE5WXTB5OMIONLFK4VAKOSGEEGDI6LRNRSMAVIWK","827084","4d0f18d562c2554a1ec4db096848f5b7683540272e0979de37404c6652ba2f59","https://stellar.expert/explorer/testnet/tx/4d0f18d562c2554a1ec4db096848f5b7683540272e0979de37404c6652ba2f59","4.8","Immediate settlement on GCash within seconds.","2026-08-31T19:17:04.033Z"
"49","Carla Magsaysay","carla.magsaysay.58@gmail.com","Melbourne, Australia","56.00 XLM","Palawan Express","Savings & Investments","GAPVNF7SYVUJ62EIHOE47KFZM32FHF5KS64CHGQ52IHPET26SNOCOSDV","908482","6146a1172861236c94956588dbd26bc3adfbc21e1db894fb3e04b65bb70c9e52","https://stellar.expert/explorer/testnet/tx/6146a1172861236c94956588dbd26bc3adfbc21e1db894fb3e04b65bb70c9e52","4.7","Autonomous refund safety feature provides absolute peace of mind.","2026-08-31T19:17:09.033Z"
"50","Jaime Quirino","jaime.quirino.88@gmail.com","Jeddah, Saudi Arabia","63.00 XLM","GCash","Medical Maintenance & Prescriptions","GBAP3DKRULZOX7FIBNB2IQTQI6JRHEPOHFESBE6WQL4ACHZGO7KI4FS7","866276","ddf49323f6e1eb73072070a6b4fc42a63b90d8ffda45fe77b5d668647e8eef28","https://stellar.expert/explorer/testnet/tx/ddf49323f6e1eb73072070a6b4fc42a63b90d8ffda45fe77b5d668647e8eef28","5.0","Finally a crypto remittance app built specifically for OFWs.","2026-08-31T19:17:14.035Z"
